lambda_param,alpha,delta,epsilon,decay,xmin,ks,R_ln,p_ln,R_exp,p_exp,num_avalanches,num_seeds
10,1.7260598126155866,0.7,0.01,0.8,0.010000000000000009,0.2761867291032498,-1608.0628240994301,8.623162917422772e-209,-1651.9770913818713,0.0,4440,3
10,2.016039844456354,0.7,0.01,0.9,0.010000000000000009,0.25690796182534326,-760.1949224700286,1.4216958840627807e-95,-834.5028797489229,1.0349132702987962e-209,3805,3
10,2.259188354139563,0.7,0.01,0.95,0.010000000000000009,0.23837347286964178,-394.93147983724225,6.149569416989104e-48,-471.1826721380214,1.425546753872831e-91,3202,3
10,1.7185145852900368,0.7,0.03,0.8,0.010000000000000009,0.28826441354352883,-1701.7444551324256,1.5662893993852486e-226,-1683.51310397627,0.0,4329,3
10,2.0988550098375987,0.7,0.03,0.9,0.010000000000000009,0.24981616475903212,-598.3544185039864,7.070341947576282e-76,-681.492880537401,2.519301604831885e-152,3664,3
10,2.2707316373753885,0.7,0.03,0.95,0.010000000000000009,0.24879504593238866,-408.1897611867571,2.0823029554059402e-51,-471.8169868542757,1.4727030967723142e-99,3172,3
10,1.7438120776403272,0.7,0.05,0.8,0.010000000000000009,0.28190474114988506,-1546.7478590403932,4.690938571686939e-202,-1569.0197473076853,0.0,4306,3
10,2.0967860428060225,0.7,0.05,0.9,0.010000000000000009,0.24603529879334707,-627.7193857876608,2.4300653354750423e-78,-712.6829366344836,4.378225297417082e-165,3708,3
10,2.277247892041716,0.7,0.05,0.95,0.010000000000000009,0.24141881183576958,-392.6769222981643,4.544122953270994e-48,-462.9153797131732,1.0177199668774482e-89,3237,3
10,1.7344923432224824,0.9,0.01,0.8,0.010000000000000009,0.28991864719738447,-1693.0294757481215,1.1546844078469216e-232,-1674.3038469843427,0.0,4442,3
10,1.9971965669946716,0.9,0.01,0.9,0.010000000000000009,0.25254491655685773,-782.5572979558584,2.6283274829919257e-99,-859.2790501998418,2.2231986697283434e-214,3838,3
10,2.2703597092136922,0.9,0.01,0.95,0.010000000000000009,0.2440982081425429,-384.6304459093418,8.93574016977039e-49,-454.57802794957524,9.133924059910481e-89,3206,3
10,1.7309848822508695,0.9,0.03,0.8,0.010000000000000009,0.2772715595446471,-1599.4788071876521,7.37956148031842e-210,-1643.9574506192857,0.0,4471,3
10,2.033473651647091,0.9,0.03,0.9,0.010000000000000009,0.25515078421544746,-747.3733434434836,1.2337542343955685e-92,-823.4303715244848,1.7874433743712228e-203,3839,3
10,2.2805447565995567,0.9,0.03,0.95,0.010000000000000009,0.2366754037505934,-363.4023546533133,3.943510460614619e-45,-442.19387899330064,3.6457189965656923e-78,3291,3
10,1.7489515635181725,0.9,0.05,0.8,0.010000000000000009,0.28060548852657874,-1553.6808005222024,2.1497328763736324e-202,-1577.0830582639944,0.0,4367,3
10,2.0228006377214514,0.9,0.05,0.9,0.010000000000000009,0.26414473516012793,-793.1646270348574,6.295863845599359e-100,-848.3476078786888,4.8673820166548423e-228,3767,3
10,2.313068714871595,0.9,0.05,0.95,0.010000000000000009,0.2424902688871933,-371.9490444242694,1.502415358757593e-45,-444.9758145855306,1.5411509334910125e-85,3241,3
10,1.7700835943022835,0.5,0.01,0.8,0.010000000000000009,0.2743721890578008,-1389.3076049465783,6.54504153197582e-179,-1443.7912294422708,0.0,4223,3
10,2.405079634525922,0.5,0.01,0.9,0.010000000000000009,0.2155422893899728,-209.72286902052943,3.1589539065488017e-26,-282.1962971650568,2.8536085785033747e-30,3346,3
10,2.6304152159730236,0.5,0.01,0.95,0.010000000000000009,0.22947287240613062,-120.91945678401878,6.045081232595941e-16,-162.76438121882657,2.7411962399099216e-13,3131,3
10,1.7657239512624805,0.5,0.03,0.8,0.010000000000000009,0.2744947970566154,-1445.2176563016915,3.923876557063787e-193,-1478.6117798097357,0.0,4279,3
10,2.305653849809548,0.5,0.03,0.9,0.010000000000000009,0.23063958046551386,-327.74269095538307,1.2134008910282644e-39,-418.834206708271,3.0713454824422152e-62,3525,3
10,2.6649504695707487,0.5,0.03,0.95,0.010000000000000009,0.22694226681483048,-105.77166380382208,3.538671817105685e-14,-142.00308429010906,2.0619648562184277e-10,3156,3
10,1.8083572961593044,0.5,0.05,0.8,0.010000000000000009,0.26331001410675337,-1194.7435767275922,1.400035492761318e-153,-1262.0028192851985,0.0,4013,3
10,2.4186248040466314,0.5,0.05,0.9,0.010000000000000009,0.2245157164417654,-233.0094677342072,1.18548064093848e-28,-307.3671980525717,1.4218922804111962e-37,3335,3
10,2.671318605016931,0.5,0.05,0.95,0.010000000000000009,0.23135541201873577,-112.32844039808694,7.661133130863304e-15,-153.6883989177332,1.933001325920013e-12,3090,3
10,1.7470555986459289,0.7,0.01,0.8,0.010000000000000009,0.27832650382893775,-1526.0895736314114,1.6261371306512396e-198,-1563.9458570004404,0.0,4348,3
10,2.1845254247550083,0.7,0.01,0.9,0.010000000000000009,0.24446392186979743,-512.2097963579319,1.3422215240526915e-62,-593.7491738302854,4.063288129930094e-127,3546,3
10,2.4746533144176657,0.7,0.01,0.95,0.010000000000000009,0.22472468780276425,-181.44015692484913,4.9725764002227113e-23,-241.92609691854494,3.5238902199855437e-25,3191,3
