delta,alpha,lambda_param,Recycle_Rate,Run
0.891015625,0.855859375,0.6550781250000001,0.89,119
0.166796875,0.680078125,4.291796875,0.98,120
0.441015625,0.680078125,4.291796875,0.89,121
0.166796875,0.405859375,4.291796875,0.98,122
0.166796875,0.680078125,3.1050781250000004,0.86,123
0.166796875,0.405859375,3.1050781250000004,0.86,124
0.441015625,0.680078125,3.1050781250000004,0.89,125
0.441015625,0.405859375,4.291796875,0.99,126
0.441015625,0.405859375,3.1050781250000004,0.98,127
0.19492187500000002,0.258203125,1.076171875,0.86,128
0.637890625,0.258203125,1.076171875,0.99,129
0.19492187500000002,0.715234375,1.076171875,0.89,130
0.19492187500000002,0.258203125,1.7269531250000003,0.89,131
0.19492187500000002,0.715234375,1.7269531250000003,0.89,132
0.637890625,0.258203125,1.7269531250000003,0.98,133
0.637890625,0.715234375,1.076171875,0.86,134
0.637890625,0.715234375,1.7269531250000003,0.86,135
0.644921875,0.708203125,3.526171875,0.86,136
0.187890625,0.708203125,3.526171875,0.89,137
0.644921875,0.265234375,3.526171875,0.86,138
0.644921875,0.708203125,4.176953125,0.86,139
0.644921875,0.265234375,4.176953125,0.99,140
0.187890625,0.708203125,4.176953125,0.98,141
0.187890625,0.265234375,3.526171875,0.86,142
0.187890625,0.265234375,4.176953125,0.98,143
0.869921875,0.48320312500000007,2.301171875,0.98,144
0.862890625,0.48320312500000007,2.301171875,0.86,145
0.869921875,0.490234375,2.301171875,0.98,146
0.869921875,0.48320312500000007,2.951953125,0.98,147
0.869921875,0.490234375,2.951953125,0.98,148
0.862890625,0.48320312500000007,2.951953125,0.98,149
0.862890625,0.490234375,2.301171875,0.86,150
0.862890625,0.490234375,2.951953125,0.86,151
0.419921875,0.933203125,4.751171875,0.99,152
0.41289062500000007,0.933203125,4.751171875,0.98,153
0.419921875,0.940234375,4.751171875,0.98,154
0.419921875,0.933203125,0.501953125,0.86,155
0.419921875,0.940234375,0.501953125,0.98,156
0.41289062500000007,0.933203125,0.501953125,0.98,157
0.41289062500000007,0.940234375,4.751171875,0.98,158
